seed,setting,HR@10,NDCG@10,MRR@10,users
42,Full,0.22448979591836735,0.16488548719287446,0.14523809523809525,49
42,w/o Spatial,0.0,0.0,0.0,49
42,w/o Temporal,0.08163265306122448,0.04209978577156931,0.02947845804988662,49
42,w/o Behavior,0.22448979591836735,0.17863934516780977,0.16482021379980563,49
77,Full,0.2653061224489796,0.19817152085232476,0.1772351797862002,49
77,w/o Spatial,0.0,0.0,0.0,49
77,w/o Temporal,0.10204081632653061,0.05434805253534508,0.04013605442176871,49
77,w/o Behavior,0.1836734693877551,0.15699053194318996,0.14795918367346939,49
